review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,year,month
",5,Ok,Dentro do prazo. Ok,2018-08-15 00:00:00,2018-08-16 05:28:44
32618eb7390d540e8f851060e051cfe2""",32e4636ad9646a3b7df0dbde0cfe5500,5,,,2018-01-17,2018-01-18 00:27:20,2018,2018-01
d9c159bef106ee1f019a494813a24ce9,ce36799829f380bb23aa467649d173c5,1,,,2018-06-08,2018-06-10 23:54:39,2018,2018-06
2a3ddf0bea2f67d4100758ddc238ca8d,676232c436e714d6dcfeae445f02fedd,3,,FONTE DE QUALIDADE.,2018-01-31,2018-01-31 21:00:23,2018,2018-01
30ad72d6d475a725d7780726608a78a3,237ccef2c5ca5a50e534a668cbfa9bb5,5,,,2018-04-11,2018-04-12 00:03:23,2018,2018-04
ddba4e56fcc419442b680eb521e9200d,723ac9c5a1b83772c9e9cdfe4d94f5fc,4,,,2018-01-05,2018-01-06 02:42:09,2018,2018-01
66de950b4e2452cae9693bf4a36ee9d1,21e52ff2fe2fd01824fe0e13fbef5963,5,,,2018-08-29,2018-08-29 22:45:25,2018,2018-08
072b23e252cd31586340ca76d749a0f6,9550f2ed8839548efea1f1fdaaf41767,4,,,2018-05-16,2018-05-17 00:23:36,2018,2018-05
64ce1a5deeceb59225904736da4aa8ff,f6c9b168bdd4b2d913398183150f6d2e,4,,,2018-01-20,2018-01-24 00:52:39,2018,2018-01
efff0f88520bffc0ff1a593f252a76fb,610d2254a191363a1f87185789c63231,4,,,2018-05-11,2018-05-12 01:06:17,2018,2018-05
8b95286ad16e856d717a79d63f84016e,a29603735d5063717c14b5f074b32c99,4,,,2018-07-06,2018-07-08 18:02:01,2018,2018-07
af345ea2592674647ea1370172e44aa4,e466676123a176fc1f9d09856565cb41,4,,,2018-05-03,2018-05-04 00:48:21,2018,2018-05
79c0ebe1059e91e04bd88d9e112040e8,457ade8093de88b42998c569334a7864,5,Rápido e confiável.,Loja muito rápida. Porduto exatamente conforme anúncio. ,2018-05-15,2018-05-16 16:06:45,2018,2018-05
99bc468ab61793df9f3441ae7155de60,0db1181e0778609b581bf9a95b17f313,5,,"Recebi o produto bem antes do prazo informado pelo site.
",2018-01-23,2018-01-25 22:30:02,2018,2018-01
b2c776287bfea2bb1fbeb64e27587f3e,76c943bbe1ddef57ebe9e810f1c108e6,5,,,2018-08-22,2018-08-24 21:51:20,2018,2018-08
06a062247925c3473e4903bb35d6ab32,41b0453ab02025f52af28600854f3682,4,ótimo,ótimo,2018-05-12,2018-05-14 12:43:32,2018,2018-05
eb8a7572e17463da3c47fb52aa1db9d8,6a3c85b24c7f08b934356ece860e4439,1,,,2018-02-15,2018-02-15 16:36:43,2018,2018-02
498c9676e7e915aa2d4cb1e2b682e81f,c6f11a51ee3384a11e50cc55dc685c24,4,,,2018-08-22,2018-08-22 13:41:24,2018,2018-08
c223c3fb920a0fc66583ef3d48e4f98f,3756637ed2fc243af380469a2aa5384c,4,,"Um produto bonito, bem acabado a um preço razoável. Ficou lindo na minha cozinha!",2018-02-08,2018-02-12 16:57:08,2018,2018-02
ba4958b7bc4b5a45cbf56a3d40a4ca5c,7659908b7f0bf2c0381852a0102c54e8,5,Faca ,Ótimo produto e chegou em pouco tempo ,2018-08-14,2018-08-15 23:16:38,2018,2018-08
261cccc3c7238d6768b6a94840ab6db3,da8bc2d014ed786a33f34355399d6735,5,,,2018-06-19,2018-06-21 19:03:50,2018,2018-06
d756bf55cc0e9fe1d36f6fc3cc19b525,4fd754f42b2d84fcafd63991c1680329,4,,Muito bom a lojas lannister produtos muito bonito,2018-01-06,2018-01-09 13:02:42,2018,2018-01
